"","name","id","level","d","dln","d2ln","lag","code"
"IS-M","Money market rate (mth.avg.)",1,1,1,NA,NA,0,"BBK01.SU0304,BBK01.SU0101"
"IS-D","Discount rate/short term repo rate (mth.avg.)",2,1,1,NA,NA,0,"BBK01.SU0112,BBK01.SU0114,BBK01.SU0115"
"IS-3M","3m-money market rate (mth.avg.)",3,1,1,NA,NA,0,"BBK01.SU0316,BBK01.SU0107,BBK01.SU0268"
"IS-3","Yields on debt securities outstanding (mat.3-5 years)",4,1,1,NA,NA,0,"BBK01.WU9552"
"IS-5","Yields on debt securities outstanding (mat.5-8 years)",5,1,1,NA,NA,0,"BBK01.WU9553"
"IL-10","Long term government bond yield-9-10 years",6,1,1,NA,NA,0,"BBK01.WX3950"
"SPR-C-G","Corporate bond-government bonds",11,1,NA,NA,NA,0,"BBK01.WU0022"
"SPR-10-M","Term spread (10y money market rate)",7,1,NA,NA,NA,0,"see constituent series"
"SPR-10Y-D","Term spread (10y discount rate)",8,1,NA,NA,NA,0,"see constituent series"
"SPR-10Y-3M","Term spread (10y 3 month-money market rate)",9,1,NA,NA,NA,0,"see constituent series"
"SPR-1D-M","Term spread (discount rate-money market rate)",10,1,NA,NA,NA,0,"see constituent series"
"EX","Nominal effective exchange rate",18,NA,NA,1,NA,1,"BBEE1.M.I7.AAA.XZE02A.A.AABAN.M00"
"EXR","Real effective exchange rate",19,NA,NA,1,NA,1,"BBEE1.M.I7.AAA.XZE02A.R.AACPE.M00"
"HWWA-E","Hwwa index ~,energy",31,NA,NA,1,1,1,"BBDG1.M.HWWI.N.EURO.ENERGY00.INDBEU.HE.A"
"HWWA-EX","Hwwa index ~,excl. energy",33,NA,NA,1,1,1,"BBDG1.M.HWWI.N.EURO.ENERGY00.INDBEU.HE.A"
